,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.06313920579850674,0.991135724660676,0.9929464365279175,0.49431041052483804,0.52673197,0.10567479208111763,0.9740848409724079,0.9763325439264074,0.29530112508272666,0.3719132,0.5888043238473416,0.6319995
1,Rat:Heart,0.11192095590134461,0.9737372007795542,0.9772282096389411,0.3953694661834967,0.39359495,0.14744498766958714,0.9478537965688634,0.9572977336052293,0.06415177586587248,0.0642066,0.42201048520003637,0.42987603
2,Opossum:Ovary,0.10827710603674252,0.9681453995610451,0.9710696917643755,0.3908291576061265,0.42528304,0.12311286851763725,0.955578578183053,0.9626078447471493,0.15380542686962279,0.16228026,0.4434525324664305,0.4584923
3,Opossum:Testis,0.10731364165743192,0.9727657539243145,0.974504159456593,0.3207147584381205,0.3944363,0.1185651384294033,0.9672994023044902,0.9730535900596551,0.4991396426207808,0.5998528,0.6523770736212827,0.73993784
4,RhesusMacaque:Liver,0.09628946892917156,0.9823019009542517,0.9841069110286431,0.402965554189909,0.4438307,0.08750491216778755,0.9862264088542716,0.9871468440563484,0.06966688727112287,0.08601821,0.4222975348058075,0.4632171
5,Chicken:Kidney,0.10050183162093163,0.973735243937943,0.9789957957565592,0.45797485109199193,0.4712402,0.09934096410870552,0.9769253063091758,0.9785854207171094,0.1559232296492389,0.1779632,0.4851643503198765,0.51672554
6,Human:Liver,0.08279816433787346,0.9871144344250962,0.9886049529559369,0.556826920046642,0.6640512,0.09451277367770672,0.9840703673074309,0.9841094473249693,0.2201632472975954,0.21263,0.6455515441502263,0.6930662
7,Chicken:Cerebellum,0.1339899480342865,0.946540479170064,0.9632793925512428,0.21883962056033526,0.2382094,0.15689249895513058,0.9326136029069044,0.9518987719706353,0.08400617692477387,0.118191056,0.28050959629384514,0.311846
8,RhesusMacaque:Brain,0.13028483199221746,0.9601454987075106,0.9695407289446345,0.114722195959787,0.13023625,0.13351406902074814,0.9622891895205404,0.9617648266072725,0.2700198544010589,0.31504223,0.2872815470432942,0.3134953
9,Opossum:Cerebellum,0.08570739502708118,0.9823687024774268,0.9851032137753513,0.5594529009485991,0.589465,0.126261243596673,0.9570943678315447,0.9626335991710677,0.15080520626516655,0.17739585,0.586896095301125,0.59921944
10,Rabbit:Brain,0.1190845121939977,0.9683802089237123,0.9754511769947286,0.35552614162806084,0.38107675,0.18049189075827599,0.8964304017131891,0.9218031326364426,0.15923229649238912,0.1853935,0.43618385805678983,0.47039852
11,Human:Brain,0.09680685802147938,0.9762070998469916,0.9800298620977128,0.6920846636266889,0.75263757,0.09626535885035992,0.9775337439238697,0.9792710762535368,0.032781822192808285,0.031727355,0.679309631371324,0.732304
12,Chicken:Heart,0.10036651231348515,0.9780851032787006,0.9822329890829631,0.3085815133465696,0.322707,0.10509545728564262,0.9735161348896805,0.9760704957965689,0.07937348334436356,0.09972259,0.28803220825060666,0.30339873
13,RhesusMacaque:Testis,0.13549200859334734,0.9491669265026323,0.9554300636188628,0.20249283035517318,0.23645283,0.12688005715608597,0.9457067990037354,0.9583001254025167,0.37846900507390246,0.548976,0.4912158214606924,0.5717769
14,Chicken:Ovary,0.0944365069270134,0.9685543853432652,0.9710738604164278,0.1913964262078094,0.21813273,0.09744289889931679,0.9652024593948246,0.9721379204132237,0.7180675049636003,0.7879665,0.5555923229649239,0.6590456
15,Human:Ovary,0.09515665968259175,0.9712919819764746,0.9751731372604128,0.49755129053606895,0.54437286,0.0935535579919815,0.9765671800738907,0.9808316030412546,0.2752261195676152,0.40310958,0.48544087723439144,0.5232484
16,Chicken:Liver,0.09062937796115875,0.9805814790311931,0.9836801407368709,0.371630266931392,0.41790068,0.10663698241114616,0.9796340915440463,0.981758413855925,0.11987646150452236,0.14244261,0.393569380101478,0.42382506
17,Rat:Cerebellum,0.0858403949865273,0.9851067314452165,0.9878250136687263,0.24666729696511303,0.27083704,0.1306646168231964,0.9615611078791415,0.9717224626719052,0.2021619236708581,0.20083308,0.366662787906997,0.38734162
18,Mouse:Ovary,0.09221266103642327,0.9830176950493874,0.983173695920225,0.45924332671519974,0.5398585,0.08911919593811035,0.981490626011882,0.9824796016685928,0.4712993602470769,0.5104187,0.5702227620162762,0.6434
19,Opossum:Brain,0.10363903890053432,0.9717761036685038,0.9760451531556994,0.5515405544525332,0.5535696,0.11080502346158028,0.964630345960528,0.9685052192160415,0.02536951246415177,0.016317967,0.5215853581670921,0.52617145
20,Opossum:Liver,0.0891074218920299,0.982988486234059,0.985862715301735,0.5995792757870854,0.64841056,0.08806465938687325,0.9867748244598704,0.98748638662424,0.11533200970659606,0.12931743,0.6471321420692697,0.68652993
21,Human:Heart,0.08377337656342067,0.9828144241528279,0.9863272518304674,0.44118345805969894,0.53330785,0.09577189199626446,0.9798288591828199,0.9822913467464734,0.43441429516876234,0.51613915,0.6135048629736706,0.683412
22,Chicken:Testis,0.10915064662694932,0.962245905655793,0.9683936201634911,0.200044120891242,0.2138793,0.13245589844882488,0.9420014967760586,0.9519448615666599,0.4967571144937128,0.51084715,0.4464740054415766,0.5179365
23,Human:Testis,0.11843516414656359,0.9679585629537238,0.9731499241809646,0.5717029366346142,0.6836044,0.12109695002436638,0.9717613777864771,0.9728804201682819,0.22572247959408778,0.22821297,0.6712131239596494,0.7312799
24,Mouse:Testis,0.08287461847066879,0.9836032908649204,0.9862499753323147,0.4936261069616464,0.5156127,0.13697671331465244,0.9631451933923122,0.9656485627477833,0.6135451136112949,0.6564286,0.533459877867555,0.6609444
25,Rabbit:Cerebellum,0.11093080150229591,0.9690588377064043,0.9756372064539034,0.16741514607166497,0.18922195,0.1584689747542143,0.9249725879287706,0.9412472591591087,-0.011559673505404811,-0.008883262,0.20368270599905283,0.24129151
26,Rat:Testis,0.1247062815560235,0.9743111620992863,0.9761769771326194,0.27271490550775795,0.30064425,0.14910418540239334,0.9618225590809815,0.9651902040381607,0.5680123538495477,0.64072895,0.4906818253443005,0.63432837
27,Rat:Ovary,0.06819417513906956,0.9887710477970233,0.9900418399475746,0.5041021923880958,0.5538165,0.08986011613160372,0.9693943448702362,0.9754080214581599,0.4637105669534525,0.50150394,0.638477356528316,0.71056193
28,Mouse:Liver,0.11273699419365989,0.9717592803425144,0.9759248623852934,0.46866681373630414,0.51640373,0.14005146361887455,0.9682905032277208,0.9697139788946997,0.2911537613059783,0.28987432,0.5413521841053277,0.5938437
29,Rabbit:Liver,0.11120147382219632,0.9676982208264447,0.9783945170498286,0.2896284390658977,0.41937962,0.18913302198052406,0.929569180079497,0.9366544339287616,-0.008824178248400618,-0.004927462,0.3931040501523625,0.41289732
30,RhesusMacaque:Kidney,0.10428898185491561,0.9710065338772305,0.9762265161369085,0.3644131587215637,0.384635,0.07984007801860571,0.9883857730777789,0.9888863579498153,0.24098830796382084,0.2514746,0.45190022860439805,0.47503668
31,Mouse:Cerebellum,0.08019769315918286,0.9808447445691559,0.9843271339678861,0.20308846238694025,0.21157923,0.09708015993237495,0.9719231918470643,0.9771211355203975,0.3115376130597838,0.38744962,0.45505685578485044,0.4985258
32,Rabbit:Ovary,0.059694136492908,0.9909110077794673,0.9916010528483259,0.6481306398579728,0.69906986,0.09599883295595646,0.9700120722460949,0.9699548453733983,0.5216854180454445,0.5596662,0.6668552713556023,0.7185439
33,Opossum:Kidney,0.14303110415736833,0.9588595519935467,0.9614809987500039,0.36032271280451295,0.4210543,0.14512160047888756,0.9638919453182604,0.9670503961002184,0.14996690933156848,0.15276894,0.39118785472193807,0.40611467
34,Rabbit:Kidney,0.073415482416749,0.9874863151025133,0.987249313883473,0.48299139642620775,0.5162932,0.12883268855512142,0.9479938289850984,0.955512686169485,0.14017207147584382,0.18216504,0.5059046402527542,0.5277453
35,Mouse:Heart,0.10442001521587371,0.9763473827916288,0.9790197069776093,0.36771286658778385,0.3926497,0.11353403329849243,0.9693173616955335,0.9738965724738609,0.30509596293845137,0.35327178,0.4377301498413345,0.4701186
36,Rat:Liver,0.0907657105061743,0.9834984870234614,0.987504589164161,0.4935877638061622,0.532152,0.1451722327619791,0.9492652015807469,0.9605581411777906,0.20348555040811825,0.22113736,0.57471951719139,0.6334815
37,Rat:Brain,0.0970903756943616,0.9768257712205203,0.9826402186901508,0.5251368750376031,0.56927615,0.17250669188797474,0.8944682318100252,0.918570360407698,0.0515332009706596,0.03566434,0.49276936452939873,0.53651077
38,RhesusMacaque:Heart,0.09233985561877489,0.9795198394470009,0.9815388793158444,0.4308667654134233,0.46130913,0.08592346496880054,0.9840455947290875,0.9842317714122069,0.2379880873593646,0.26963076,0.5111805247476988,0.5312482
39,Mouse:Kidney,0.08496566613515218,0.9830103170830738,0.9841062554610313,0.2280356748920614,0.2429049,0.12976040691137314,0.9437029013473132,0.9562642452072698,0.33942201632472974,0.3661204,0.44720886878398464,0.48875672
40,Rabbit:Testis,0.08227961303459273,0.9805712940629542,0.9824643748062117,0.49683800279432316,0.53904665,0.12529359944164753,0.9514229348864023,0.9545897766062234,0.38411647915287883,0.5606818,0.544885915981217,0.7059086
41,Rat:Kidney,0.11704151119504656,0.9696306447687479,0.9748193196139361,0.25401815259525384,0.29533496,0.15534102730453014,0.9339708406848015,0.9477021072450851,0.3044341495698213,0.31500524,0.3307986961196756,0.38231373
42,Chicken:Brain,0.08385291174054146,0.9780818263374316,0.9842666680206257,0.200639752923009,0.20163494,0.07540277764201164,0.984423537532595,0.9856086335053247,0.1546437238032208,0.18319342,0.3281197146849033,0.35539502
43,Human:Cerebellum,0.07463299139187886,0.9843804465473501,0.9869880400486584,0.7098930189598621,0.7614375,0.08067622035741806,0.984462257217192,0.985786033633301,0.08069711008162364,0.10092222,0.6643425240798886,0.72721213
44,Human:Kidney,0.104513787410476,0.9651997024404363,0.9714549172207103,0.39240117923109324,0.43842813,0.11512973718345165,0.9624333659825415,0.9668478585997123,0.2589455106993161,0.26723778,0.5466025206278826,0.5925513
45,Mouse:Brain,0.08880191389471292,0.9791866114979877,0.9834242291441353,0.4953830638807475,0.53020686,0.10704770311713219,0.9732436918290843,0.9790205331972465,0.27778513125965143,0.3172595,0.5629481482558916,0.6034928
46,RhesusMacaque:Cerebellum,0.0903291568160057,0.9754778609662352,0.9807482784006896,0.18012353849547758,0.21405184,0.09845473058521748,0.9801491243028781,0.980226011244871,0.28387381425104785,0.23613967,0.44832307188362774,0.4565971
47,Opossum:Heart,0.09454304054379463,0.980244638533272,0.9831427010872409,0.4245405745074838,0.4388615,0.09533380530774593,0.9797602748952612,0.9803067323250705,0.16289433046547538,0.17174116,0.5028844032649459,0.5241796
