,cell_id,drug_id,num_points
699,HEK293,BRD-K02123250,18
700,A549,BRD-K35189033,21
701,THP1,BRD-K05804044,29
702,MINO,BRD-K61567297,19
703,THP1,BRD-A30655177,19
704,MCF7,BRD-K07691486,38
705,THP1,BRD-A28746609,30
706,HA1E,BRD-K07691486,19
707,MCF7,BRD-A11990600,21
708,A549,BRD-K53414658,26
709,MDAMB231,BRD-K13662825,18
710,MCF10A,BRD-K54256913,20
711,THP1,BRD-K49328571,35
712,A375,BRD-K78431006,21
713,HUVEC.A,BRD-K77908580,18
714,TMD8,BRD-K92428153,19
715,THP1,BRD-K98039984,19
716,TMD8,BRD-A50998626,19
717,MCF7,BRD-K16730910,20
718,HT29,BRD-A22032524,16
719,YAPC,BRD-K16730910,18
720,THP1,BRD-K61567297,24
721,THP1,BRD-K08109215,24
722,TMD8,BRD-K19295594,19
723,THP1,BRD-K70301465,36
724,A549,BRD-K77908580,27
725,PC3,BRD-K74065929,21
726,TMD8,BRD-K81418486,31
727,BJAB,BRD-K94199083,19
728,BJAB,BRD-A79768653,31
729,MCF10A,BRD-K59317601,18
730,THP1,BRD-K74514084,29
731,JURKAT,BRD-K07572174,19
732,HELA,BRD-K40738845,18
733,HEK293,BRD-K57169635,18
734,PC3,BRD-K62200014,16
735,MINO,BRD-A61304759,19
736,A375,BRD-K53665955,18
737,MINO,BRD-A79768653,25
738,A375,BRD-K07691486,21
739,PC3,BRD-K53665955,18
740,THP1,BRD-K70401845,30
741,A375,BRD-K33379087,18
742,A549,BRD-K33226500,21
743,MCF7,BRD-K65781196,21
744,MCF7,BRD-K07857022,20
745,MCF7,BRD-K04887706,39
746,MCF7,BRD-K17743125,26
747,A549,BRD-K27182532,21
748,A549,BRD-K44844162,21
749,A549,BRD-K71035033,26
750,A549,BRD-A48237631,21
751,MCF7,BRD-K05804044,41
752,MCF7,BRD-K71035033,29
753,PC3,BRD-K47503321,19
754,BJAB,BRD-K11357827,19
755,BJAB,BRD-K44844162,19
756,TMD8,BRD-K71035033,19
757,TMD8,BRD-K81528515,19
758,THP1,BRD-K99964838,24
759,PC3,BRD-K32821942,16
760,A549,BRD-K17075857,21
761,A549,BRD-K78431006,28
762,SKBR3,BRD-K03063480,20
763,SKBR3,BRD-K99749624,20
764,SKBR3,BRD-K49865102,20
765,HS578T,BRD-K78431006,20
766,HS578T,BRD-K41895714,20
767,A549,BRD-K17705806,21
768,A549,BRD-K63828191,26
769,MCF7,BRD-K92428232,34
770,A549,BRD-K15567136,21
771,A549,BRD-K50168500,26
772,A549,BRD-K51544265,35
773,A549,BRD-K76205745,23
774,MCF7,BRD-K94534639,21
775,MCF7,BRD-K31447894,21
776,A549,BRD-K43966364,21
777,MCF7,BRD-K70301876,21
778,MCF7,BRD-A22032524,21
779,MCF7,BRD-A92537424,21
780,HA1E,BRD-K76908866,19
781,A549,BRD-K05104363,26
782,MCF7,BRD-A73741725,21
783,THP1,BRD-K48443249,19
784,THP1,BRD-K60866521,34
785,BJAB,BRD-K30577245,19
786,BJAB,BRD-K81418486,31
787,BJAB,BRD-A77216878,19
788,TMD8,BRD-K98795921,19
789,BJAB,BRD-K87782578,25
790,THP1,BRD-K92723993,30
791,THP1,BRD-K71223042,19
792,BJAB,BRD-A50998626,19
793,MINO,BRD-K36280065,19
794,MINO,BRD-K48443249,19
795,SKBR3,BRD-K95435023,20
796,MDAMB231,BRD-A58280226,25
797,A549,BRD-K17743125,26
798,MCF7,BRD-K25630527,21
799,A549,BRD-K56957086,21
800,MCF7,BRD-K79254416,26
801,A549,BRD-K59875992,21
802,MCF7,BRD-K84163249,21
803,A549,BRD-A08545410,21
804,A549,BRD-K99023089,21
805,MCF7,BRD-K44844162,21
806,MCF7,BRD-K24968862,21
807,A549,BRD-K45158365,21
808,MCF7,BRD-K92723993,33
809,MCF7,BRD-K05104363,38
810,MCF7,BRD-A97437073,21
811,A549,BRD-K93918653,26
812,HA1E,BRD-K93754473,19
813,HA1E,BRD-K19687926,19
814,HS578T,BRD-K59369769,20
815,XC.L100.L,BRD-K86118762,19
816,A375,BRD-K39339537,20
817,HA1E,BRD-K73037408,17
818,XC.L100.M,BRD-A12230535,19
819,A375,BRD-K81144366,20
820,XC.L100.M,BRD-K59369769,19
821,MCF10A,BRD-K19687926,20
822,MCF7,BRD-K50140147,20
823,MCF7,BRD-K52751261,32
824,BT20,BRD-K07691486,20
825,BT20,BRD-K40175214,19
826,MDAMB231,BRD-K00337317,20
827,MCF10A,BRD-K99545815,30
828,MDAMB231,BRD-K76908866,31
829,MDAMB231,BRD-K53414658,25
830,MCF10A,BRD-K79404599,31
831,MCF7,BRD-K79090631,20
832,PC3,BRD-K62858456,16
833,PC3,BRD-K64890080,21
834,BT20,BRD-K63068307,20
835,PC3,BRD-K64800655,24
836,HT29,BRD-K22134346,16
837,MCF7,BRD-K64890080,39
838,PC3,BRD-K52911425,19
839,PC3,BRD-K93918653,21
840,SKBR3,BRD-K06569345,17
841,MCF10A,BRD-K63923597,20
842,A375,BRD-A48237631,16
843,PC3,BRD-K55127134,17
844,MCF7,BRD-A77216878,20
845,PC3,BRD-A48237631,16
846,MCF7,BRD-K07881437,23
847,MCF7,BRD-K76205745,23
848,MCF7,BRD-A36275421,19
849,A549,BRD-K88560311,17
850,SKBR3,BRD-K63068307,17
851,MDAMB231,BRD-K51313569,31
852,HA1E,BRD-K53414658,19
853,HT29,BRD-K63828191,21
854,MCF7,BRD-K50168500,30
855,HT29,BRD-K54640016,20
856,MCF7,BRD-K93747373,20
857,HS578T,BRD-K58772419,20
858,SKBR3,BRD-K57282030,17
859,SKBR3,BRD-A45498368,17
860,HS578T,BRD-K07667918,17
861,PC3,BRD-K43797669,22
862,HA1E,BRD-K78431006,19
863,MCF7,BRD-K53665955,18
864,SKBR3,BRD-K13390322,17
865,MCF10A,BRD-K59369769,31
866,SKBR3,BRD-A87137733,20
867,MDAMB231,BRD-K20285085,20
868,HA1E,BRD-K12184916,19
869,A549,BRD-K79404599,19
870,A549,BRD-K08109215,19
871,A375,BRD-K54256913,18
872,HT29,BRD-K68065987,18
873,HT29,BRD-K12184916,21
874,HA1E,BRD-K02113016,18
875,HA1E,BRD-K49865102,19
876,HELA,BRD-K11267252,30
877,HELA,BRD-K15976406,25
878,HELA,BRD-K28542495,25
879,HELA,BRD-K32501161,25
880,HT29,BRD-K03449891,18
881,A375,BRD-K81528515,19
882,HELA,BRD-K07954936,25
883,MCF7,BRD-K00521308,21
884,HELA,BRD-K33453211,25
885,MCF7,BRD-K43797669,22
886,HL60,BRD-A19037878,16
887,SKBR3,BRD-K67868012,20
888,BT20,BRD-K49328571,20
889,HELA,BRD-K34341643,25
890,HELA,BRD-K19687926,25
891,YAPC,BRD-K53414658,18
892,HT29,BRD-K37687095,18
893,HT29,BRD-K85606544,23
894,HA1E,BRD-K21718444,18
895,HELA,BRD-A29322418,25
896,HELA,BRD-K08832567,25
897,MCF7,BRD-A87130939,21
898,PC3,BRD-K80700417,18
899,A375,BRD-K50168500,18
900,HT29,BRD-K73319509,18
901,HA1E,BRD-K08799216,18
902,HA1E,BRD-K92723993,19
903,PC3,BRD-K37764012,18
904,PC3,BRD-K22134346,16
905,A549,BRD-K70301465,18
906,HT29,BRD-K71035033,21
907,HT29,BRD-K56343971,21
908,A549,BRD-K51747290,20
909,PC3,BRD-K50168500,19
910,HELA,BRD-K17513304,25
911,HELA,BRD-K27955832,25
912,HELA,BRD-K16732600,25
913,HELA,BRD-K25394294,25
914,HELA,BRD-A28545468,25
915,HELA,BRD-A17655518,25
916,HELA,BRD-K31841515,25
917,HELA,BRD-K16730910,30
918,HELA,BRD-K17894950,25
919,HELA,BRD-K35520305,25
920,HT29,BRD-K92428232,18
921,PC3,BRD-K07691486,21
922,MCF7,BRD-K92241597,20
923,MCF7,BRD-K62391742,21
924,MCF7,BRD-K36627727,27
925,MCF10A,BRD-K54997624,16
926,A549,BRD-K57252450,21
927,MCF10A,BRD-K51544265,18
928,A375,BRD-K44876623,16
929,THP1,BRD-K72420232,18
930,MCF10A,BRD-K57080016,31
931,YAPC,BRD-K49328571,20
932,HELA,BRD-K33379087,30
933,MCF7,BRD-K44227013,18
934,MINO,BRD-K08109215,19
935,BJAB,BRD-K19687926,19
936,MINO,BRD-A13689093,19
937,BJAB,BRD-K13514097,25
938,HT29,BRD-K36627727,16
939,A375,BRD-K89162000,17
940,MDAMB231,BRD-K79404599,31
941,A549,BRD-A97437073,21
942,A549,BRD-K47554101,21
943,A549,BRD-K93123848,18
944,TMD8,BRD-A13689093,19
945,TMD8,BRD-A82772293,19
946,TMD8,BRD-A79768653,31
947,A549,BRD-K72827473,21
948,HELA,BRD-K77625799,18
949,THP1,BRD-A79768653,42
950,A375,BRD-K20285085,20
951,PC3,BRD-K92723993,21
952,TMD8,BRD-K87782578,25
953,A549,BRD-A11990600,21
954,A549,BRD-A62025033,21
955,A549,BRD-K07881437,23
956,A549,BRD-K49807096,21
957,MCF7,BRD-K72827473,21
958,MCF7,BRD-K03449891,35
959,A549,BRD-K73999723,21
960,A549,BRD-K71480163,21
961,A549,BRD-A48430263,21
962,A549,BRD-K00521308,21
963,MCF7,BRD-K41213548,21
964,A549,BRD-K41213548,21
965,A549,BRD-K45542189,21
966,A549,BRD-K78485176,21
967,MCF7,BRD-A48430263,21
968,A549,BRD-K93034159,21
969,BJAB,BRD-K64052750,19
970,TMD8,BRD-A28746609,19
971,BJAB,BRD-K70401845,19
972,MINO,BRD-A30655177,19
973,BJAB,BRD-K62014504,19
974,HT29,BRD-K07691486,21
975,A549,BRD-K03816923,16
976,HS578T,BRD-K05104363,20
977,MDAMB231,BRD-K71035033,25
978,HS578T,BRD-K15592317,20
979,MCF7,BRD-K02708799,17
980,MCF7,BRD-K16189898,17
981,A549,BRD-K64890080,26
982,A549,BRD-K84091759,21
983,A549,BRD-A22032524,21
984,A549,BRD-K07691486,26
985,A549,BRD-K56343971,26
986,MCF7,BRD-K41895714,33
987,A549,BRD-K33732501,21
988,A549,BRD-K41260949,21
989,A549,BRD-K64800655,35
990,A549,BRD-K67102207,21
991,MCF7,BRD-K32318651,20
992,A549,BRD-K05804044,35
993,PC3,BRD-K41260949,17
994,A549,BRD-K95901403,21
995,TMD8,BRD-K53972329,26
996,MINO,BRD-K19295594,19
997,THP1,BRD-K88510285,25
998,MDAMB231,BRD-K94176593,20
999,A549,BRD-A73741725,21
1000,HS578T,BRD-K57282030,20
1001,A549,BRD-K28456624,21
1002,A549,BRD-A78195072,21
1003,MCF7,BRD-K51544265,35
1004,A549,BRD-A30984645,21
1005,A549,BRD-K22134346,21
1006,MCF7,BRD-K82941592,21
1007,MCF7,BRD-A22684332,16
1008,A549,BRD-K71221037,21
1009,MCF7,BRD-A50998626,21
1010,A549,BRD-K48068743,21
1011,MDAMB231,BRD-A58767537,20
1012,SKBR3,BRD-K04801023,20
1013,HS578T,BRD-K42191735,17
1014,HS578T,BRD-K04833372,17
1015,A375,BRD-K23984367,27
1016,XC.L100.L,BRD-K66175015,19
1017,A375,BRD-K92049597,20
1018,XC.L100.L,BRD-K70401845,19
1019,XC.L100.M,BRD-K78431006,19
1020,MDAMB231,BRD-K05104363,31
1021,MCF10A,BRD-A79768653,34
1022,MDAMB231,BRD-K64890080,31
1023,BT20,BRD-K51313569,20
1024,BT20,BRD-K00337317,20
1025,MCF7,BRD-K76908866,31
1026,MDAMB231,BRD-K19687926,20
1027,MCF10A,BRD-K53414658,25
1028,MCF7,BRD-K78431006,41
1029,MDAMB231,BRD-K49328571,31
1030,PC3,BRD-K33882852,17
1031,MCF7,BRD-K25311561,19
1032,BT20,BRD-K57080016,20
1033,MCF10A,BRD-K06569345,20
1034,HT29,BRD-K59369769,21
1035,MDAMB231,BRD-K93918653,25
1036,SKBR3,BRD-A60245366,16
1037,BT20,BRD-K85606544,20
1038,HT29,BRD-K77908580,21
1039,MCF7,BRD-A31159102,21
1040,A549,BRD-A31159102,21
1041,HT29,BRD-K64052750,21
1042,PC3,BRD-K36627727,16
1043,MCF7,BRD-K45158365,20
1044,MCF7,BRD-K29950728,21
1045,MCF7,BRD-K84091759,21
1046,A375,BRD-K70914287,16
1047,PC3,BRD-K53414658,19
1048,A375,BRD-K85606544,23
1049,MCF7,BRD-K63430059,20
1050,MCF7,BRD-K00337317,20
1051,MCF7,BRD-K79759585,20
1052,MCF10A,BRD-K19220233,16
1053,MDAMB231,BRD-K79090631,20
1054,MCF10A,BRD-K87909389,30
1055,MCF10A,BRD-K79090631,20
1056,SKBR3,BRD-K42191735,20
1057,MCF7,BRD-K99545815,26
1058,HS578T,BRD-K97764662,20
1059,SKBR3,BRD-K41895714,17
1060,PC3,BRD-K76908866,19
1061,MCF7,BRD-K95435023,17
1062,MDAMB231,BRD-K99252563,20
1063,SKBR3,BRD-K52911425,17
1064,MDAMB231,BRD-K49669041,20
1065,HS578T,BRD-K49865102,17
1066,BT20,BRD-K99252563,20
1067,MCF7,BRD-K99749624,30
1068,HELA,BRD-K31309378,25
1069,HELA,BRD-K34022604,25
1070,HA1E,BRD-K05104363,19
1071,HA1E,BRD-K37764012,18
1072,HA1E,BRD-K93918653,19
1073,A375,BRD-K20001883,18
1074,HELA,BRD-K28984613,25
1075,A375,BRD-K24576554,18
1076,MCF10A,BRD-K67868012,16
1077,HS578T,BRD-K70401845,17
1078,HS578T,BRD-K56751279,17
1079,BT20,BRD-K15592317,20
1080,SKBR3,BRD-K03449891,20
1081,HELA,BRD-K19939891,25
1082,HELA,BRD-A09533288,25
1083,HELA,BRD-K08859203,25
1084,HELA,BRD-A02006392,25
1085,PC3,BRD-K44876623,16
1086,HT29,BRD-K79254416,18
1087,HELA,BRD-K53414658,18
1088,A375,BRD-K64890080,21
1089,HELA,BRD-A29289453,25
1090,HELA,BRD-K36732695,25
1091,HELA,BRD-A07986123,25
1092,HELA,BRD-K24723746,25
1093,MCF7,BRD-K69726595,21
1094,MCF7,BRD-K78659596,27
1095,HA1E,BRD-K66538826,18
1096,MCF7,BRD-K41599323,21
1097,PC3,BRD-K42191735,18
1098,HT29,BRD-K78431006,22
1099,MCF7,BRD-K54256913,22
1100,HELA,BRD-K24616672,25
1101,HELA,BRD-K36627727,25
1102,HELA,BRD-K10859802,25
1103,HT29,BRD-K23984367,20
1104,HELA,BRD-A16296925,25
1105,MCF7,BRD-K41260949,24
1106,JURKAT,BRD-K66538826,18
1107,A375,BRD-K03449891,18
1108,HT29,BRD-K64890080,20
1109,MCF7,BRD-A06935312,21
1110,HELA,BRD-K37764012,18
1111,A375,BRD-K71035033,21
1112,HA1E,BRD-K68488863,18
1113,A549,BRD-K36280065,21
1114,MCF7,BRD-A30051119,21
1115,HT29,BRD-K19687926,26
1116,HELA,BRD-K19477839,18
1117,HELA,BRD-K66538826,18
1118,JURKAT,BRD-K92428232,18
1119,PC3,BRD-K72414522,18
1120,JURKAT,BRD-K49328571,18
1121,HELA,BRD-K51544265,18
1122,MCF7,BRD-K97399794,20
1123,MCF10A,BRD-K03449891,27
1124,OCILY19,BRD-K81418486,19
1125,THP1,BRD-K99749624,20
1126,MCF7,BRD-K12539581,16
1127,MCF7,BRD-K51575138,16
1128,PC3,BRD-K42828737,17
1129,MINO,BRD-K40624912,19
1130,MCF7,BRD-K62200014,21
1131,A549,BRD-K36627727,20
1132,MCF10A,BRD-K45746021,18
1133,A375,BRD-A22032524,16
1134,TMD8,BRD-A30655177,19
1135,BJAB,BRD-A28746609,19
1136,THP1,BRD-K52751261,24
1137,MCF10A,BRD-K68065987,31
1138,HELA,BRD-K71035033,18
1139,YAPC,BRD-K93918653,20
1140,HELA,BRD-K74514084,18
1141,JURKAT,BRD-K12787259,18
1142,PC3,BRD-K11267252,20
1143,BJAB,BRD-K70301465,25
1144,MCF7,BRD-K93918653,32
1145,THP1,BRD-K18787491,19
1146,A549,BRD-K99451608,21
1147,A549,BRD-K32821942,21
1148,A549,BRD-K37687095,26
1149,MCF7,BRD-K28456624,21
1150,A549,BRD-K03390685,21
1151,MCF7,BRD-K71480163,21
1152,MCF7,BRD-K97472745,21
1153,A549,BRD-K13390322,26
1154,A549,BRD-K62734952,21
1155,MCF7,BRD-K63828191,26
1156,A549,BRD-K94534639,21
1157,A549,BRD-K63750851,21
1158,A549,BRD-K92723993,26
1159,HA1E,BRD-K13390322,19
1160,THP1,BRD-A30984645,30
1161,THP1,BRD-K45995181,19
1162,THP1,BRD-K49456274,24
1163,A549,BRD-K70301876,21
1164,SKBR3,BRD-K85402309,20
1165,MDAMB231,BRD-K56301217,24
1166,MCF7,BRD-K04853698,22
1167,HS578T,BRD-A60245366,20
1168,HS578T,BRD-K19687926,20
1169,MDAMB231,BRD-A87137733,20
1170,A549,BRD-A30051119,21
1171,MCF7,BRD-A26503646,21
1172,MCF7,BRD-K13646352,21
1173,MCF7,BRD-A02367930,21
1174,MCF7,BRD-K13154216,21
1175,A549,BRD-K52751261,26
1176,MCF7,BRD-K09951645,26
1177,MCF7,BRD-K88560311,17
1178,MCF7,BRD-A12230535,26
1179,MCF7,BRD-K37687095,35
1180,MCF7,BRD-K15592317,20
1181,MCF7,BRD-A10523515,19
1182,TMD8,BRD-K36280065,19
1183,THP1,BRD-K66175015,24
1184,MINO,BRD-K77503770,19
1185,MINO,BRD-K88510285,16
1186,BJAB,BRD-A61304759,19
1187,MCF7,BRD-K33379087,22
1188,THP1,BRD-A13689093,19
1189,MCF7,BRD-K53517854,21
1190,U2OS,BRD-K05804044,19
1191,A549,BRD-K52313696,27
1192,A549,BRD-A03506276,21
1193,A549,BRD-K40870905,21
1194,MCF7,BRD-K99964838,20
1195,A549,BRD-K09951645,26
1196,U2OS,BRD-K64800655,19
1197,MCF7,BRD-K48068743,21
1198,MDAMB231,BRD-K12343256,20
1199,HS578T,BRD-A45498368,20
1200,SKBR3,BRD-K50168500,20
1201,XC.L100.M,BRD-K86118762,19
1202,XC.L100.M,BRD-K37890730,19
1203,A375,BRD-K63675182,20
1204,A549,BRD-K59317601,17
1205,XC.L100.M,BRD-K49865102,19
1206,XC.L100.L,BRD-A25004090,19
1207,MCF10A,BRD-K13390322,31
1208,HA1E,BRD-K45330754,21
1209,MCF10A,BRD-K76908866,31
1210,MCF10A,BRD-K93918653,25
1211,SKBR3,BRD-K19687926,21
1212,MCF10A,BRD-K49669041,20
1213,PC3,BRD-A84481105,19
1214,HT29,BRD-K43797669,19
1215,A375,BRD-K13390322,20
1216,MCF7,BRD-K45542189,21
1217,MCF7,BRD-K22134346,21
1218,HT29,BRD-K92723993,21
1219,MDAMB231,BRD-A79768653,30
1220,MCF7,BRD-K51318897,16
1221,MCF7,BRD-A10977446,20
1222,MCF7,BRD-A22305049,20
1223,HT29,BRD-K99451608,16
1224,SKBR3,BRD-K37687095,20
1225,HS578T,BRD-K67868012,17
1226,SKBR3,BRD-K70401845,24
1227,HS578T,BRD-K85606544,20
1228,BT20,BRD-K49669041,20
1229,HS578T,BRD-K03449891,17
1230,HS578T,BRD-K01436366,20
1231,A549,BRD-K34022604,21
1232,HELA,BRD-K25837718,25
1233,HELA,BRD-K25204779,25
1234,HELA,BRD-K31812033,25
1235,PC3,BRD-K33379087,18
1236,YAPC,BRD-K02123250,18
1237,HA1E,BRD-K51313569,19
1238,A375,BRD-A12230535,21
1239,HELA,BRD-K09549677,25
1240,HELA,BRD-A19736161,25
1241,A375,BRD-K45330754,19
1242,MCF10A,BRD-K41895714,31
1243,SKBR3,BRD-K92723993,17
1244,YAPC,BRD-K42805893,18
1245,HELA,BRD-K23499943,25
1246,HELA,BRD-K09078998,25
1247,HA1E,BRD-K51544265,18
1248,A375,BRD-K73319509,18
1249,HELA,BRD-A09472452,25
1250,HELA,BRD-K30126819,25
1251,A375,BRD-K99964838,19
1252,HELA,BRD-K22024824,25
1253,A375,BRD-K80700417,18
1254,MCF7,BRD-K70511574,29
1255,MCF7,BRD-K57169635,18
1256,A375,BRD-K68065987,18
1257,A375,BRD-K70511574,23
1258,YAPC,BRD-K86797399,18
1259,HT29,BRD-K66538826,18
1260,PC3,BRD-K92428232,19
1261,MCF7,BRD-K58772419,25
1262,HELA,BRD-K25650355,25
1263,HELA,BRD-K10670311,25
1264,HELA,BRD-K34469523,25
1265,A375,BRD-K11267252,20
1266,HELA,BRD-K26341917,25
1267,HELA,BRD-K26011976,25
1268,HELA,BRD-A10967948,25
1269,HT29,BRD-K57169635,18
1270,PC3,BRD-K56343971,21
1271,A549,BRD-K42417338,21
1272,HELA,BRD-K09951645,30
1273,HELA,BRD-K93123848,18
1274,MINO,BRD-K87782578,19
1275,TMD8,BRD-K60866521,25
1276,TMD8,BRD-K62391742,19
1277,A549,BRD-K78659596,21
1278,MCF7,BRD-A03506276,21
1279,A549,BRD-K55026842,21
1280,A549,BRD-K66615216,21
1281,MCF10A,BRD-K56751279,27
1282,HT29,BRD-K08109215,18
1283,A549,BRD-K93754473,26
1284,BJAB,BRD-K71223042,19
1285,HT29,BRD-A11990600,16
1286,TMD8,BRD-A77216878,17
1287,BJAB,BRD-A82772293,19
1288,HBL1,BRD-K21680192,19
1289,TMD8,BRD-K19687926,19
1290,JURKAT,BRD-K51544265,18
1291,HELA,BRD-K02113016,18
1292,MCF7,BRD-A35869383,18
1293,MINO,BRD-K92428153,19
1294,OCILY3,BRD-K21680192,19
1295,PC3,BRD-K50498985,18
1296,A549,BRD-K85751432,21
1297,A549,BRD-K50498985,26
1298,A549,BRD-K53517854,21
1299,A549,BRD-K70511574,31
1300,MCF7,BRD-K51747290,21
1301,MCF7,BRD-K78485176,21
1302,TMD8,BRD-K99964838,19
1303,THP1,BRD-K79404599,24
1304,TMD8,BRD-A61304759,19
1305,BJAB,BRD-K98795921,19
1306,A549,BRD-K76908866,19
1307,MDAMB231,BRD-K07667918,20
1308,A549,BRD-K97472745,21
1309,MCF7,BRD-K52233191,21
1310,MCF7,BRD-K64925568,21
1311,MCF7,BRD-K89162000,24
1312,A549,BRD-K66538826,26
1313,MCF7,BRD-K68488863,26
1314,A549,BRD-K61397605,21
1315,MCF7,BRD-K63750851,21
1316,MCF7,BRD-K33732501,21
1317,MCF7,BRD-K12867552,21
1318,A549,BRD-K72414522,26
1319,HA1E,BRD-K50168500,19
1320,TMD8,BRD-K77503770,19
1321,THP1,BRD-K92428232,29
1322,HS578T,BRD-K08799216,16
1323,A549,BRD-K28360340,17
1324,A549,BRD-K07857022,21
1325,A549,BRD-K04887706,28
1326,U2OS,BRD-K51544265,19
1327,MCF7,BRD-K77625799,26
1328,A549,BRD-K76197012,21
1329,MCF7,BRD-K62858456,21
1330,A549,BRD-K74065929,27
1331,A549,BRD-A02367930,21
1332,MCF7,BRD-K68870568,21
1333,MCF7,BRD-K35189033,21
1334,MCF7,BRD-K73237276,21
1335,A549,BRD-K99749624,26
1336,A549,BRD-K25630527,21
1337,MCF7,BRD-A78195072,21
1338,HA1E,BRD-K79254416,19
1339,A549,BRD-K17894950,21
1340,MCF7,BRD-K32821942,21
1341,SKBR3,BRD-K04833372,20
1342,HS578T,BRD-K79090631,20
1343,XC.L100.L,BRD-A63610676,19
1344,XC.L100.M,BRD-K16478699,19
1345,XC.L100.L,BRD-K15616905,19
1346,MCF10A,BRD-K13566078,20
1347,MCF7,BRD-K56343971,38
1348,BT20,BRD-A45498368,20
1349,BT20,BRD-K64800655,20
1350,BT20,BRD-K20285085,20
1351,SKBR3,BRD-K63923597,17
1352,SKBR3,BRD-K85606544,21
1353,PC3,BRD-K25650355,17
1354,HA1E,BRD-K68065987,19
1355,SKBR3,BRD-K19540840,17
1356,HA1E,BRD-K80738081,19
1357,MCF7,BRD-K37991163,21
1358,PC3,BRD-K17743125,19
1359,A375,BRD-K62858456,16
1360,MCF10A,BRD-K92428232,25
1361,A375,BRD-K63828191,21
1362,MCF7,BRD-A22380646,23
1363,HA1E,BRD-K63828191,19
1364,MDAMB231,BRD-K85606544,31
1365,MCF7,BRD-K20285085,33
1366,BT20,BRD-K78431006,20
1367,MCF7,BRD-K13566078,16
1368,HS578T,BRD-K92723993,20
1369,HS578T,BRD-K53972329,17
1370,HS578T,BRD-K81528515,17
1371,HS578T,BRD-K93747373,20
